PRODUCTO_ID,PRODUCTO,STOCK_ACTUAL,VENTAS_MENSUALES,VECES_ORDENADO,PROMEDIO_ORDENADO,HACER_PEDIDO,CANTIDAD_SUGERIDA,PROVEEDOR_SUGERIDO
59,Codo PVC,29,0,605,25.272727,0,0.000000,9
48,Abono,33,80,600,39.700000,1,40.000000,3
48,Abono,33,80,600,39.700000,1,40.000000,7
48,Abono,33,80,600,39.700000,1,40.000000,5
32,Brocha,39,20,310,13.400000,0,0.000000,2
69,Jabonera,68,4,248,15.500000,0,0.000000,2
69,Jabonera,68,4,248,15.500000,0,0.000000,10
69,Jabonera,68,4,248,15.500000,0,0.000000,7
69,Jabonera,68,4,248,15.500000,0,0.000000,6
27,Apagador,169,0,275,34.000000,0,0.000000,8
63,Compactadora,186,0,159,20.666666,0,0.000000,1
63,Compactadora,186,0,159,20.666666,0,0.000000,5
63,Compactadora,186,0,159,20.666666,0,0.000000,4
14,Ladrillo,226,14,371,25.571428,0,0.000000,6
42,Impermeabilizante acrílico,238,50,290,27.000000,0,0.000000,8
10,Llave inglesa,265,0,188,10.000000,0,0.000000,1
10,Llave inglesa,265,0,188,10.000000,0,0.000000,10
10,Llave inglesa,265,0,188,10.000000,0,0.000000,7
10,Llave inglesa,265,0,188,10.000000,0,0.000000,2
56,Pinzas,275,8,204,15.500000,0,0.000000,3
56,Pinzas,275,8,204,15.500000,0,0.000000,5
60,Trampa de fregadero,275,56,315,22.000000,0,0.000000,2
68,Toallero,328,0,500,26.800000,0,0.000000,1
26,Cable eléctrico,338,0,159,26.000000,0,0.000000,6
26,Cable eléctrico,338,0,159,26.000000,0,0.000000,9
26,Cable eléctrico,338,0,159,26.000000,0,0.000000,7
7,Martillo,357,0,310,43.400000,0,0.000000,8
11,Cemento,271,0,175,25.200000,0,0.000000,5
1,Taladro eléctrico,225,0,216,46.000000,0,0.000000,1
15,Casco,202,0,245,35.800000,0,0.000000,1
15,Casco,202,0,245,35.800000,0,0.000000,10
15,Casco,202,0,245,35.800000,0,0.000000,9
15,Casco,202,0,245,35.800000,0,0.000000,8
15,Casco,202,0,245,35.800000,0,0.000000,6
45,Mascarilla,235,40,250,30.600000,0,0.000000,3
45,Mascarilla,235,40,250,30.600000,0,0.000000,9
45,Mascarilla,235,40,250,30.600000,0,0.000000,7
45,Mascarilla,235,40,250,30.600000,0,0.000000,6
45,Mascarilla,235,40,250,30.600000,0,0.000000,5
12,Arena,12,0,583,21.454545,1,22.000000,7
65,Desengrasante,243,6,276,23.333333,0,0.000000,7
53,Taladro,299,16,188,29.750000,0,0.000000,1
20,Pija,262,0,270,16.400000,0,0.000000,5
34,Disco de corte,104,48,378,23.166666,0,0.000000,10
62,Controlador PLC,185,60,282,11.000000,0,0.000000,4
38,Espuma expansiva,151,119,455,29.714285,0,0.000000,3
38,Espuma expansiva,151,119,455,29.714285,0,0.000000,6
38,Espuma expansiva,151,119,455,29.714285,0,0.000000,5
50,Tornillo allen,140,0,318,22.666666,0,0.000000,4
50,Tornillo allen,140,0,318,22.666666,0,0.000000,6
18,Tornillo,74,0,168,38.000000,0,0.000000,3
18,Tornillo,74,0,168,38.000000,0,0.000000,9
18,Tornillo,74,0,168,38.000000,0,0.000000,7
18,Tornillo,74,0,168,38.000000,0,0.000000,5
35,Cepillo abrasivo,327,24,240,33.750000,0,0.000000,1
21,Taquete,125,114,222,20.000000,0,0.000000,1
58,Cutter,164,4,106,24.500000,0,0.000000,7
28,Multicontacto,337,42,312,26.833333,0,0.000000,8
9,Sierra manual,182,0,225,15.600000,0,0.000000,4
37,Pegamento de contacto,320,0,504,26.888888,0,0.000000,4
25,Interruptor,181,0,357,36.571428,0,0.000000,2
25,Interruptor,181,0,357,36.571428,0,0.000000,4
44,Gafas de seguridad,289,28,378,26.285714,0,0.000000,3
36,Silicón,234,0,216,22.750000,0,0.000000,1
55,Pulidora,234,42,270,24.000000,0,0.000000,5
55,Pulidora,234,42,270,24.000000,0,0.000000,7
6,Multicontacto industrial 6 salidas,340,14,399,21.714285,0,0.000000,8
8,Destornillador,4,3,162,6.000000,1,6.000000,2
13,Grava,38,7,434,31.285714,0,0.000000,1
13,Grava,38,7,434,31.285714,0,0.000000,3
16,Chaleco reflectante,287,9,150,20.666666,0,0.000000,3
